devicename,date,CO2,Soil EC,Soil Moisture,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Temperature,Soil pH,Soil EC Category,Soil Moisture Category,Soil pH Category,N Category,P Category,K Category,NPK Ratio,NPK Status,Optimal Plant,NPK - Plant Readiness,C_N_Ratio,C_N_Status,feeding_description,Feeding Category,Browns (g),Greens (g)
NDS010,2024-08-21,691.0,480.0,79.8,61.0,188.0,182.0,27.4,5.4,Low,High,Low,Low,Low,Low,1.0 : 3.1 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,11:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS010,2024-08-22,594.0,495.0,88.5,64.0,195.0,189.0,28.3,5.6,Low,High,Low,Low,Low,Low,1.0 : 3.0 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,9:1,Unbalanced,,,0,0
NDS010,2024-08-23,601.0,489.0,88.5,63.0,193.0,186.0,27.6,5.5,Low,High,Low,Low,Low,Low,1.0 : 3.1 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS010,2024-08-24,607.0,482.0,85.0,62.0,189.0,183.0,26.9,5.6,Low,High,Low,Low,Low,Low,1.0 : 3.0 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS010,2024-08-25,704.0,458.0,75.6,57.0,178.0,171.0,27.0,5.6,Low,High,Low,Low,Low,Low,1.0 : 3.1 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,12:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",500g of dried leaves,Unknown,0,0
NDS010,2024-08-26,638.0,470.0,73.4,59.0,183.0,177.0,27.7,5.6,Low,High,Low,Low,Low,Low,1.0 : 3.1 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,11:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS010,2024-08-27,569.0,465.0,78.1,58.0,181.0,174.0,26.7,5.7,Low,High,Low,Low,Low,Low,1.0 : 3.1 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS010,2024-08-28,666.0,489.0,86.5,63.0,193.0,186.0,27.2,5.9,Low,High,Low,Low,Low,Low,1.0 : 3.1 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,11:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS010,2024-08-29,1133.0,481.0,86.6,61.0,189.0,182.0,28.3,5.9,Low,High,Low,Low,Low,Low,1.0 : 3.1 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,19:1,"Lady-Finger Optimal, Long Bean Optimal","50g of distilled water, 5g of dried radish tops, 7g of crushed eggshells, 1g of dried mango skins, 3g of dried chye sim",Green,0,10
NDS010,2024-08-30,923.0,521.0,88.5,70.0,208.0,202.0,28.9,6.0,Low,High,Optimal,Low,Low,Low,1.0 : 3.0 : 2.9,Unbalanced,Not Done Composting,Not Done Composting,13:1,"Lady-Finger Optimal, Long Bean Optimal",500g of dried leaves,Unknown,0,0
NDS010,2024-08-31,938.0,499.0,88.5,65.0,197.0,191.0,29.0,6.0,Low,High,Optimal,Low,Low,Low,1.0 : 3.0 : 2.9,Unbalanced,Not Done Composting,Not Done Composting,14:1,"Lady-Finger Optimal, Long Bean Optimal",,,0,0
NDS011,2024-07-25,436.0,698.0,24.8,107.0,293.0,288.0,28.6,4.3,Low,High,Low,High,Low,Low,1.0 : 2.7 : 2.7,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
NDS011,2024-07-26,468.0,817.0,24.3,132.0,351.0,346.0,28.7,4.7,Optimal,High,Low,High,High,High,1.0 : 2.7 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,"5g of crushed eggshells, 5g of dried chye sim",Green,0,10
NDS011,2024-07-27,472.0,898.0,26.0,148.0,390.0,385.0,28.9,4.6,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-07-28,461.0,946.0,24.5,159.0,413.0,408.0,28.9,4.9,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-07-29,514.0,1074.0,27.9,185.0,475.0,470.0,28.9,4.6,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-07-30,485.0,1176.0,30.2,207.0,524.0,520.0,29.0,4.5,Optimal,High,Low,High,High,High,1.0 : 2.5 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
NDS011,2024-07-31,553.0,1213.0,29.1,214.0,542.0,538.0,27.3,4.6,Optimal,High,Low,High,High,High,1.0 : 2.5 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,200g of water,Unknown,0,0
NDS011,2024-08-01,574.0,1751.0,100.0,327.0,801.0,800.0,28.0,5.5,Optimal,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
NDS011,2024-08-02,499.0,1885.0,89.8,354.0,866.0,865.0,28.2,5.6,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
NDS011,2024-08-03,514.0,2502.0,98.0,483.0,1163.0,1165.0,28.7,5.4,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
NDS011,2024-08-04,594.0,2521.0,100.0,487.0,1173.0,1174.0,26.9,5.4,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,500g of dried leaves,Unknown,0,0
NDS011,2024-08-05,571.0,2578.0,100.0,499.0,1200.0,1202.0,27.6,5.4,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,1:1,Unbalanced,,,0,0
NDS011,2024-08-12,452.0,1074.0,54.3,185.0,475.0,470.0,27.8,5.6,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
NDS011,2024-08-13,502.0,1021.0,55.7,174.0,449.0,445.0,28.0,5.6,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-08-14,559.0,996.0,52.1,169.0,437.0,433.0,26.9,5.4,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,500g of dried leaves,Unknown,0,0
NDS011,2024-08-15,537.0,1039.0,52.9,178.0,458.0,453.0,27.9,5.4,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-08-16,476.0,1065.0,56.1,183.0,470.0,466.0,28.2,5.1,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-08-17,472.0,1021.0,58.1,174.0,449.0,445.0,28.1,5.4,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,"45g of distilled water, 4g of dried radish tops, 4g of crushed eggshells, 15g of coffee grounds, 4g of dried chye sim",Mixed,15,8
NDS011,2024-08-18,504.0,1047.0,51.7,180.0,462.0,457.0,28.2,5.2,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,"4g of fresh mint leaves, 2g of dried mango skins",Green,0,4
NDS011,2024-08-19,505.0,1059.0,51.7,182.0,467.0,463.0,28.5,5.2,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,200g of water,Unknown,0,0
NDS011,2024-08-20,511.0,970.0,52.9,164.0,425.0,420.0,27.2,5.3,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,"45g of distilled water, 8g of crushed eggshells, 15g of coffee grounds, 3g of fresh mint leaves, 1g of dried mango skins",Mixed,15,11
NDS011,2024-08-21,549.0,967.0,45.5,163.0,423.0,418.0,27.6,5.1,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-08-22,511.0,993.0,43.7,168.0,436.0,431.0,28.5,5.2,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-08-23,456.0,989.0,44.3,167.0,434.0,429.0,27.8,5.4,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-08-24,519.0,943.0,40.8,158.0,412.0,407.0,27.0,5.3,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-08-25,594.0,979.0,45.6,165.0,429.0,424.0,27.2,5.2,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,500g of dried leaves,Unknown,0,0
NDS011,2024-08-26,526.0,1039.0,43.0,178.0,458.0,453.0,27.9,4.9,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-08-27,428.0,990.0,39.0,168.0,434.0,430.0,26.8,5.4,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-08-28,533.0,986.0,38.7,167.0,432.0,428.0,27.2,5.3,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS011,2024-08-29,725.0,1184.0,59.2,208.0,528.0,524.0,27.8,5.1,Optimal,High,Low,High,High,High,1.0 : 2.5 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,"45g of distilled water, 2g of dried chye sim",Green,0,2
NDS011,2024-08-30,554.0,1213.0,50.7,214.0,542.0,538.0,28.3,5.3,Optimal,High,Low,High,High,High,1.0 : 2.5 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,500g of dried leaves,Unknown,0,0
NDS011,2024-08-31,572.0,1356.0,56.2,244.0,611.0,608.0,28.6,5.3,Optimal,High,Low,High,Optimal,Optimal,1.0 : 2.5 : 2.5,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
NDS012,2024-07-22,424.0,89.0,13.4,0.0,0.0,0.0,28.6,6.8,Low,High,Optimal,Low,Low,Low,1.0 : 1.0 : 1.0,Optimal,Lady Finger,Not Done Composting,,Unknown,,,0,0
NDS012,2024-07-23,587.0,162.0,20.6,0.0,35.0,27.0,28.7,6.9,Low,High,Optimal,Low,Low,Low,1.0 : 3500.0 : 2700.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS012,2024-07-24,541.0,156.0,19.4,0.0,32.0,24.0,28.4,6.7,Low,High,Optimal,Low,Low,Low,1.0 : 3200.0 : 2400.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,"45g of distilled water, 100g of coffee grounds",Brown,100,0
NDS012,2024-07-25,752.0,183.0,22.3,0.0,45.0,37.0,28.6,6.8,Low,High,Optimal,Low,Low,Low,1.0 : 4500.0 : 3700.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS012,2024-07-26,736.0,180.0,21.8,0.0,44.0,36.0,28.7,6.8,Low,High,Optimal,Low,Low,Low,1.0 : 4400.0 : 3600.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,"45g of distilled water, 100g of coffee grounds",Brown,100,0
NDS012,2024-07-27,707.0,180.0,21.4,0.0,44.0,36.0,28.9,6.6,Low,High,Optimal,Low,Low,Low,1.0 : 4400.0 : 3600.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS012,2024-07-28,689.0,181.0,22.9,0.0,44.0,36.0,29.0,6.5,Low,High,Optimal,Low,Low,Low,1.0 : 4400.0 : 3600.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS012,2024-07-29,744.0,163.0,21.8,0.0,35.0,28.0,28.9,6.6,Low,High,Optimal,Low,Low,Low,1.0 : 3500.0 : 2800.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS012,2024-07-30,708.0,164.0,20.8,0.0,36.0,28.0,29.0,6.7,Low,High,Optimal,Low,Low,Low,1.0 : 3600.0 : 2800.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS012,2024-07-31,670.0,163.0,21.1,0.0,35.0,28.0,27.3,6.8,Low,High,Optimal,Low,Low,Low,1.0 : 3500.0 : 2800.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,200g of water,Unknown,0,0
NDS012,2024-08-01,989.0,327.0,38.9,29.0,114.0,107.0,28.2,7.9,Low,High,High,Low,Low,Low,1.0 : 3.9 : 3.7,Unbalanced,Not Done Composting,Not Done Composting,34:1,Unbalanced,,,0,0
NDS012,2024-08-02,875.0,321.0,37.1,28.0,112.0,104.0,28.4,6.6,Low,High,Optimal,Low,Low,Low,1.0 : 4.0 : 3.7,Unbalanced,Not Done Composting,Not Done Composting,31:1,Unbalanced,,,0,0
NDS012,2024-08-03,876.0,339.0,39.0,32.0,120.0,113.0,29.0,6.4,Low,High,Optimal,Low,Low,Low,1.0 : 3.8 : 3.5,Unbalanced,Not Done Composting,Not Done Composting,27:1,Unbalanced,,,0,0
NDS012,2024-08-04,886.0,331.0,37.5,30.0,116.0,109.0,27.1,6.3,Low,High,Optimal,Low,Low,Low,1.0 : 3.9 : 3.6,Unbalanced,Not Done Composting,Not Done Composting,30:1,Unbalanced,500g of dried leaves,Unknown,0,0
NDS012,2024-08-05,833.0,331.0,37.9,30.0,116.0,109.0,27.9,6.2,Low,High,Optimal,Low,Low,Low,1.0 : 3.9 : 3.6,Unbalanced,Not Done Composting,Not Done Composting,28:1,Unbalanced,,,0,0
NDS012,2024-08-12,965.0,277.0,44.0,19.0,90.0,83.0,28.5,6.0,Low,High,Optimal,Low,Low,Low,1.0 : 4.7 : 4.4,Unbalanced,Not Done Composting,Not Done Composting,51:1,Unbalanced,,,0,0
NDS012,2024-08-13,1086.0,291.0,45.3,22.0,97.0,90.0,28.8,6.0,Low,High,Optimal,Low,Low,Low,1.0 : 4.4 : 4.1,Unbalanced,Not Done Composting,Not Done Composting,49:1,Unbalanced,,,0,0
NDS012,2024-08-14,1023.0,291.0,45.7,22.0,97.0,90.0,27.5,6.1,Low,High,Optimal,Low,Low,Low,1.0 : 4.4 : 4.1,Unbalanced,Not Done Composting,Not Done Composting,46:1,Unbalanced,500g of dried leaves,Unknown,0,0
NDS012,2024-08-15,1012.0,307.0,44.3,25.0,105.0,98.0,28.6,6.1,Low,High,Optimal,Low,Low,Low,1.0 : 4.2 : 3.9,Unbalanced,Not Done Composting,Not Done Composting,40:1,Unbalanced,,,0,0
NDS012,2024-08-16,1006.0,316.0,53.6,27.0,109.0,102.0,28.9,6.2,Low,High,Optimal,Low,Low,Low,1.0 : 4.0 : 3.8,Unbalanced,Not Done Composting,Not Done Composting,37:1,Unbalanced,,,0,0
NDS012,2024-08-17,978.0,320.0,49.6,28.0,111.0,104.0,28.8,6.2,Low,High,Optimal,Low,Low,Low,1.0 : 4.0 : 3.7,Unbalanced,Not Done Composting,Not Done Composting,35:1,Unbalanced,50g of coffee grounds,Brown,50,0
NDS012,2024-08-18,1084.0,323.0,49.1,28.0,113.0,105.0,28.9,6.2,Low,High,Optimal,Low,Low,Low,1.0 : 4.0 : 3.8,Unbalanced,Not Done Composting,Not Done Composting,39:1,Unbalanced,50g of coffee grounds,Brown,50,0
NDS012,2024-08-19,1012.0,327.0,50.7,29.0,114.0,107.0,29.2,6.2,Low,High,Optimal,Low,Low,Low,1.0 : 3.9 : 3.7,Unbalanced,Not Done Composting,Not Done Composting,35:1,Unbalanced,,,0,0
NDS012,2024-08-20,859.0,316.0,53.8,27.0,109.0,102.0,27.6,6.1,Low,High,Optimal,Low,Low,Low,1.0 : 4.0 : 3.8,Unbalanced,Not Done Composting,Not Done Composting,32:1,Unbalanced,50g of coffee grounds,Brown,50,0
NDS012,2024-08-21,946.0,322.0,53.3,28.0,112.0,105.0,28.2,6.1,Low,High,Optimal,Low,Low,Low,1.0 : 4.0 : 3.8,Unbalanced,Not Done Composting,Not Done Composting,34:1,Unbalanced,,,0,0
NDS012,2024-08-22,851.0,332.0,50.7,30.0,117.0,110.0,29.1,6.1,Low,High,Optimal,Low,Low,Low,1.0 : 3.9 : 3.7,Unbalanced,Not Done Composting,Not Done Composting,28:1,Unbalanced,,,0,0
NDS012,2024-08-23,718.0,323.0,51.2,28.0,113.0,105.0,28.3,6.0,Low,High,Optimal,Low,Low,Low,1.0 : 4.0 : 3.8,Unbalanced,Not Done Composting,Not Done Composting,26:1,Unbalanced,,,0,0
NDS012,2024-08-24,832.0,318.0,50.3,27.0,110.0,103.0,27.6,6.0,Low,High,Optimal,Low,Low,Low,1.0 : 4.1 : 3.8,Unbalanced,Not Done Composting,Not Done Composting,31:1,Unbalanced,,,0,0
NDS012,2024-08-25,934.0,319.0,47.2,28.0,111.0,103.0,27.7,5.9,Low,High,Low,Low,Low,Low,1.0 : 4.0 : 3.7,Unbalanced,Not Done Composting,Not Done Composting,33:1,Unbalanced,500g of dried leaves,Unknown,0,0
NDS012,2024-08-26,932.0,326.0,47.2,29.0,114.0,107.0,28.4,6.0,Low,High,Optimal,Low,Low,Low,1.0 : 3.9 : 3.7,Unbalanced,Not Done Composting,Not Done Composting,32:1,Unbalanced,,,0,0
NDS012,2024-08-27,683.0,314.0,47.7,27.0,108.0,101.0,27.3,5.9,Low,High,Low,Low,Low,Low,1.0 : 4.0 : 3.7,Unbalanced,Not Done Composting,Not Done Composting,25:1,Long Bean Optimal,,,0,0
NDS012,2024-08-28,866.0,316.0,49.6,27.0,109.0,102.0,27.8,5.9,Low,High,Low,Low,Low,Low,1.0 : 4.0 : 3.8,Unbalanced,Not Done Composting,Not Done Composting,32:1,Unbalanced,,,0,0
NDS012,2024-08-29,1319.0,159.0,30.4,0.0,33.0,26.0,28.3,5.7,Low,High,Low,Low,Low,Low,1.0 : 3300.0 : 2600.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,50g of coffee grounds,Brown,50,0
NDS012,2024-08-30,1392.0,161.0,29.4,0.0,34.0,27.0,29.0,5.7,Low,High,Low,Low,Low,Low,1.0 : 3400.0 : 2700.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS012,2024-08-31,1359.0,162.0,28.6,0.0,35.0,27.0,29.3,5.7,Low,High,Low,Low,Low,Low,1.0 : 3500.0 : 2700.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
Centre 03 West Tank 0,2024-09-01,1648.0,3154.0,87.4,619.0,1478.0,1482.0,30.8,7.3,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-02,2093.0,3000.0,85.2,587.0,1404.0,1407.0,30.2,7.8,High,High,High,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-03,2259.0,2848.0,80.2,555.0,1330.0,1333.0,29.9,7.9,High,High,High,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-04,2064.0,2563.0,75.6,496.0,1193.0,1194.0,28.7,6.9,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-05,2107.0,2278.0,79.1,436.0,1055.0,1056.0,30.0,5.7,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,5:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-06,1573.0,1987.0,79.5,376.0,915.0,914.0,29.7,5.9,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-07,1822.0,1971.0,71.3,372.0,907.0,907.0,29.8,5.7,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,5:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-08,1244.0,1959.0,72.4,370.0,902.0,901.0,29.1,5.5,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-09,1299.0,1932.0,69.4,364.0,889.0,888.0,28.0,5.2,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-10,1188.0,1950.0,69.5,368.0,897.0,896.0,29.0,5.3,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-11,1445.0,1947.0,69.2,367.0,896.0,895.0,28.7,5.0,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-12,1248.0,1950.0,69.4,368.0,897.0,896.0,29.0,5.4,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-13,871.0,1944.0,68.2,367.0,894.0,893.0,28.2,5.2,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-14,756.0,1950.0,68.2,368.0,897.0,896.0,28.7,5.1,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-15,1067.0,1953.0,68.2,369.0,899.0,898.0,28.5,5.2,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-16,1171.0,1965.0,70.3,371.0,904.0,904.0,29.0,5.3,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-17,926.0,1962.0,74.9,371.0,903.0,902.0,28.8,5.4,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-18,1083.0,1981.0,72.4,375.0,912.0,911.0,29.7,5.8,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-19,567.0,1984.0,77.0,375.0,914.0,913.0,29.3,5.7,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-20,894.0,1965.0,69.4,371.0,904.0,904.0,28.0,5.8,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-21,1152.0,1993.0,73.4,377.0,918.0,917.0,29.4,5.9,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-22,1155.0,2032.0,77.7,385.0,937.0,936.0,30.0,6.3,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-23,691.0,1984.0,72.7,375.0,914.0,913.0,28.7,6.0,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-24,1086.0,1981.0,71.3,375.0,912.0,911.0,28.3,6.2,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-25,1047.0,1968.0,69.2,372.0,906.0,905.0,27.7,5.5,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-26,1206.0,1965.0,68.1,371.0,904.0,904.0,27.3,6.4,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-27,1130.0,2013.0,69.4,381.0,928.0,927.0,29.0,6.7,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-28,1151.0,1999.0,72.7,378.0,921.0,920.0,29.0,7.0,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-09-29,814.0,1996.0,69.0,378.0,919.0,919.0,28.8,7.1,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
